crypt_no,108421-2_RFPpos,108421-2_TotalCells,108422-6_RFPpos,108422-6_TotalCells,108423-3_RFPpos,108423-3_TotalCells,108424-6_RFPpos,108424-6_TotalCells,108720-L11_RFPpos,108720-L11_TotalCells,108721-L11_RFPpos,108721-L11_TotalCells,108722-L11_RFPpos,108722-L11_TotalCells,108723-L5_RFPpos,108723-L5_TotalCells,108724-L11_RFPpos,108724-L11_TotalCells,108725-L6_RFPpos,108725-L6_TotalCells,108726-L9_RFPpos,108726-L9_TotalCells,108727-L6_RFPpos,108727-L6_TotalCells
1,6,11,1,13,3,15,3,11,4,12,5,14,13,18,6,14,7,11,8,13,4,19,8,14
2,11,14,4,12,3,15,4,14,10,16,14,17,3,17,7,13,10,10,8,13,7,10,12,12
3,15,15,3,15,4,13,8,16,11,18,6,19,13,13,12,17,4,12,,,9,12,6,13
4,6,12,1,12,3,11,4,16,8,15,3,18,10,13,6,15,8,11,,,12,12,12,15
5,2,15,3,10,7,13,6,14,8,13,19,19,10,16,7,16,6,15,,,4,16,9,13
6,2,14,3,12,3,14,3,15,8,16,16,16,9,15,16,16,12,12,,,6,10,11,14
7,8,14,3,14,1,14,2,16,8,12,9,14,6,14,4,10,10,14,,,7,11,4,15
8,15,15,6,11,1,15,7,16,2,16,10,15,7,13,13,13,9,14,,,10,12,6,15
9,6,11,12,16,3,14,7,12,4,13,13,13,5,11,7,17,,,,,11,14,10,14
10,12,12,1,14,3,18,3,15,5,13,8,15,10,10,15,20,,,,,12,12,6,11
11,13,13,12,16,4,15,4,15,3,21,5,11,6,11,11,18,,,,,8,12,6,11
12,3,12,7,11,3,14,4,13,9,14,6,14,7,16,7,16,,,,,8,11,12,15
13,2,15,7,15,2,14,10,18,10,11,6,12,8,12,7,16,,,,,7,15,8,15
14,3,11,1,16,3,12,4,16,4,14,7,12,12,12,6,16,,,,,5,14,6,17
15,3,11,5,13,3,14,4,11,9,13,9,19,9,16,12,17,,,,,8,11,10,16
16,5,16,3,13,2,10,4,12,1,14,14,14,8,16,6,13,,,,,5,11,6,13
17,7,11,2,18,3,17,3,11,5,14,6,13,6,15,3,15,,,,,10,13,12,12
18,8,16,2,10,3,19,5,12,7,12,4,16,4,16,8,16,,,,,13,15,4,9
19,8,12,1,8,3,15,4,11,5,14,15,15,13,15,6,15,,,,,13,13,10,16
20,2,16,5,13,9,14,5,15,11,17,7,11,6,11,10,15,,,,,9,13,7,16
21,6,10,12,17,4,19,7,15,7,11,15,15,5,17,10,17,,,,,7,11,7,14
22,8,16,9,11,2,17,7,10,14,18,15,15,10,16,4,10,,,,,11,11,8,15
23,14,14,3,13,5,19,4,12,5,23,11,11,4,14,6,9,,,,,13,15,7,12
24,6,13,3,11,3,17,5,9,8,14,12,12,3,13,4,15,,,,,3,12,7,13
25,1,13,1,14,2,14,1,15,8,18,11,15,3,13,5,18,,,,,2,10,11,11
26,10,15,1,14,2,16,4,12,5,15,9,13,2,14,8,17,,,,,5,16,4,10
27,8,12,2,14,2,14,5,16,6,18,5,15,6,14,13,15,,,,,11,11,5,10
28,9,12,7,14,3,12,4,12,14,20,8,20,4,15,5,14,,,,,8,13,8,8
29,2,18,3,14,2,13,5,9,8,18,4,13,6,11,6,11,,,,,6,11,11,11
30,2,13,16,18,3,11,3,17,15,19,8,14,6,16,6,21,,,,,7,11,9,11
31,,,4,12,6,12,3,11,12,12,13,19,6,20,6,15,,,,,15,15,8,12
32,,,4,10,3,11,4,11,6,14,8,13,8,15,5,19,,,,,12,12,9,11
33,,,4,19,3,13,4,13,6,12,9,13,,,5,14,,,,,10,14,9,14
34,,,16,16,4,14,4,14,8,18,13,13,,,7,15,,,,,14,14,12,14
35,,,2,15,3,14,3,14,6,14,5,9,,,12,12,,,,,,,5,9
36,,,2,11,5,15,5,11,6,15,7,16,,,10,10,,,,,,,18,18
37,,,2,10,4,13,5,16,8,15,6,13,,,7,16,,,,,,,5,10
38,,,3,19,13,17,5,12,10,10,8,14,,,4,17,,,,,,,13,13
39,,,2,11,2,20,6,12,4,14,12,12,,,11,15,,,,,,,7,11
40,,,2,17,3,14,4,12,5,13,15,15,,,5,18,,,,,,,6,9
41,,,7,11,2,15,2,12,8,12,5,13,,,9,14,,,,,,,6,8
42,,,5,11,3,14,13,13,5,10,10,13,,,7,16,,,,,,,7,13
43,,,3,14,1,14,2,13,14,14,9,20,,,8,17,,,,,,,11,11
44,,,8,16,1,15,4,13,5,14,9,16,,,10,13,,,,,,,9,13
45,,,2,11,3,12,3,14,6,16,,,,,7,16,,,,,,,6,13
46,,,5,14,6,15,4,15,3,18,,,,,10,23,,,,,,,10,10
47,,,6,10,5,10,8,14,10,20,,,,,5,16,,,,,,,,
48,,,3,13,3,15,4,16,18,18,,,,,5,15,,,,,,,,
49,,,2,14,3,14,3,14,9,19,,,,,14,14,,,,,,,,
50,,,9,9,3,16,2,12,,,,,,,6,15,,,,,,,,
